"01","01","METALURGIA, ACINDAR           "
"32","02","METALURGIA, CAÑOS SIAT        "
"33","03","METALURGIA, PER-TUB-CAÑOS-SIDE"
"03","04","METALURGIA, SIDERAR           "
"04","05","METALURGIA, CHAPA NEGRA       "
"02","06","METALURGIA, VARIOS            "
"16","07","ARTICULOS RURALES             "
"17","08","MATERIALES GRUESOS            "
"34","09","CONSTRUCCION EN SECO          "
"20","10","TECHOS, ACS P/                "
"18","11","AISLANTES P/TECHOS, PAREDES   "
"21","12","VARIOS                        "
"10","13","BRONCERIA, VARIOS             "
"14","14","ACCESORIOS PARA GAS           "
"19","15","ACCESORIOS QUIMICOS           "
"26","16","ACCESORIOS PARA CALEFACCION   "
"27","17","ACCESORIOS PARA ELECTRICIDAD  "
"15","18","ACCESORIOS PARA AGUA/CLOACAS  "
"09","19","BAÑOS, DEPOSITOS P/           "
"13","20","GRIFERIA / ACS P/BAÑO         "
"11","21","BAÑOS, SANITARIOS             "
"08","22","BAÑOS, VANIT-AMOB-BOT-ACS P/  "
"12","23","CERAMICA Y REVESTIMIENTOS     "
"28","24","ARTICULOS DEL HOGAR           "
"07","25","COCINAS, AMOBLAMIENTOS-ACS P/ "
"06","26","ABERTURAS, OBLAK              "
"30","27","ABERTURAS, ESTEBAN            "
"05","28","ABERTURAS, VARIOS             "
"23","29","PINTURAS, ALBA LINEA HOGAR    "
"24","31","PINTURAS, OTRAS MARCAS        "
"25","32","PINTURAS, ACS VARIOS P/       "
"31","33","HERRAMIENTAS                  "
